District,Temperature,Humidity,Pressure,WindSpeed,Precipitation,CloudCover,DayOfYear,MonsoonPhase,Weather
Pathanamthitta,34.59,71.96,1003.72,19.05,5.77,79.57,114,Pre-Monsoon,Cloudy
Thiruvananthapuram,21.66,79.01,1009.51,10.79,0.84,49.8,349,Post-Monsoon,Cloudy
Wayanad,32.4,68.82,1009.39,16.68,0.97,60.5,317,NorthEast Monsoon,Cloudy
Kottayam,25.13,69.56,1003.0,12.1,2.18,75.12,172,SouthWest Monsoon,Cloudy
Idukki,29.56,89.06,1008.02,13.64,14.62,59.37,117,Pre-Monsoon,Rainy
Kollam,29.78,71.66,1019.95,5.72,2.26,44.19,116,Pre-Monsoon,Cloudy
Kasaragod,30.83,89.49,1012.19,14.93,1.86,68.1,339,Post-Monsoon,Rainy
Pathanamthitta,28.85,80.73,1009.5,6.13,1.63,26.86,113,Pre-Monsoon,Cloudy
Kozhikode,28.99,80.75,1004.55,16.03,5.93,25.38,147,Pre-Monsoon,Cloudy
Kasaragod,30.03,76.07,1018.7,9.75,12.52,95.85,89,Post-Monsoon,Rainy
Idukki,27.96,81.76,1015.04,2.6,2.7,57.39,39,Post-Monsoon,Cloudy
Alappuzha,23.3,94.33,1013.28,10.09,4.28,98.7,8,Post-Monsoon,Rainy
Palakkad,28.99,76.21,1007.89,15.53,8.28,51.12,71,Post-Monsoon,Cloudy
Kottayam,26.75,79.23,998.75,8.04,3.89,66.19,88,Post-Monsoon,Cloudy
Alappuzha,26.5,88.3,1016.71,17.96,5.39,68.1,253,SouthWest Monsoon,Rainy
Kollam,26.21,72.75,1016.92,10.78,6.49,89.83,362,Post-Monsoon,Cloudy
Idukki,23.09,72.0,1009.94,19.75,11.41,56.58,37,Post-Monsoon,Rainy
Malappuram,27.8,81.61,1003.43,8.94,1.64,54.35,158,SouthWest Monsoon,Cloudy
Kollam,29.0,91.59,1011.81,11.03,0.25,63.99,18,Post-Monsoon,Cloudy
Wayanad,31.3,81.3,1008.95,10.03,17.77,56.22,74,Post-Monsoon,Rainy
Kannur,27.23,79.8,1017.93,10.97,33.9,44.31,5,Post-Monsoon,Rainy
Ernakulam,33.73,81.73,1009.9,9.28,11.26,83.97,292,NorthEast Monsoon,Rainy
Pathanamthitta,30.75,81.28,1009.39,8.24,1.86,63.49,245,SouthWest Monsoon,Cloudy
Palakkad,25.64,76.82,1007.63,9.87,3.28,64.72,121,Pre-Monsoon,Cloudy
Kozhikode,27.54,89.44,1008.27,9.26,7.27,61.35,265,SouthWest Monsoon,Cloudy
Kottayam,35.06,83.8,1004.48,7.29,1.01,74.42,228,SouthWest Monsoon,Cloudy
Thrissur,31.28,77.91,1015.15,10.08,12.05,66.72,253,SouthWest Monsoon,Rainy
Kozhikode,27.42,82.51,1003.62,14.52,9.29,100.0,161,SouthWest Monsoon,Cloudy
Idukki,31.68,79.39,1009.38,10.66,6.04,33.47,288,NorthEast Monsoon,Cloudy
Kasaragod,25.22,70.63,1011.65,12.92,9.85,54.1,202,SouthWest Monsoon,Cloudy
Wayanad,27.34,99.34,1001.95,9.13,4.04,49.34,274,NorthEast Monsoon,Cloudy
Malappuram,22.01,83.06,1007.17,15.39,0.63,66.72,81,Post-Monsoon,Cloudy
Thrissur,30.81,74.02,1010.85,9.38,1.37,79.66,10,Post-Monsoon,Cloudy
Kannur,25.5,72.83,1009.68,9.07,4.46,83.98,181,SouthWest Monsoon,Cloudy
Kannur,28.76,70.11,1009.89,11.2,17.57,35.5,206,SouthWest Monsoon,Rainy
Kozhikode,24.36,76.12,1003.05,8.55,0.08,68.27,213,SouthWest Monsoon,Cloudy
Wayanad,29.6,72.51,1003.78,14.61,5.36,63.94,310,NorthEast Monsoon,Cloudy
Pathanamthitta,28.78,80.26,1013.12,6.57,7.27,100.0,225,SouthWest Monsoon,Cloudy
Pathanamthitta,24.58,95.13,1014.88,15.28,9.77,85.05,69,Post-Monsoon,Rainy
Kottayam,27.57,76.39,1015.77,8.87,14.75,33.36,55,Post-Monsoon,Rainy
Kozhikode,29.4,100.0,1009.74,11.2,0.56,91.18,174,SouthWest Monsoon,Rainy
Malappuram,30.34,87.24,1013.01,2.08,0.97,68.5,354,Post-Monsoon,Rainy
Pathanamthitta,33.75,99.56,1002.23,8.17,0.65,60.73,181,SouthWest Monsoon,Cloudy
Thrissur,32.65,71.64,1003.55,14.07,10.12,29.16,139,Pre-Monsoon,Rainy
Malappuram,26.91,76.4,1008.16,15.46,0.71,53.21,120,Pre-Monsoon,Cloudy
Kannur,26.88,76.82,1009.46,15.27,0.16,96.79,243,SouthWest Monsoon,Cloudy
Wayanad,24.71,81.39,1007.71,15.12,0.1,61.05,333,Post-Monsoon,Cloudy
Kasaragod,25.97,87.44,1008.41,6.89,2.64,59.92,127,Pre-Monsoon,Cloudy
Thrissur,31.58,69.81,1003.79,19.76,4.74,82.63,315,NorthEast Monsoon,Cloudy
Kollam,24.23,88.96,1007.02,12.96,1.29,25.8,136,Pre-Monsoon,Cloudy
Wayanad,28.54,76.4,1003.18,6.87,1.71,50.89,111,Pre-Monsoon,Cloudy
Alappuzha,28.1,96.59,1015.72,9.16,0.62,69.35,180,SouthWest Monsoon,Rainy
Malappuram,26.73,84.82,1004.67,5.9,3.08,100.0,241,SouthWest Monsoon,Cloudy
Kannur,25.09,92.03,1013.38,15.18,3.46,77.78,352,Post-Monsoon,Rainy
Thiruvananthapuram,23.32,78.35,1009.69,13.18,5.52,40.98,6,Post-Monsoon,Cloudy
Alappuzha,25.12,86.39,1012.6,10.85,3.95,65.57,194,SouthWest Monsoon,Rainy
Wayanad,28.75,78.23,1010.25,11.66,1.57,57.25,233,SouthWest Monsoon,Cloudy
Kannur,30.79,86.87,1007.57,14.3,10.55,56.02,160,SouthWest Monsoon,Rainy
Kannur,33.84,83.91,1007.87,10.37,2.07,56.42,125,Pre-Monsoon,Cloudy
Kozhikode,30.0,94.26,1014.8,3.79,6.03,61.26,342,Post-Monsoon,Cloudy
Kannur,30.78,89.52,1006.2,15.1,6.24,34.58,175,SouthWest Monsoon,Cloudy
Alappuzha,33.82,85.8,1008.55,2.99,0.58,75.89,132,Pre-Monsoon,Rainy
Malappuram,30.01,83.52,1018.41,13.69,3.81,54.81,290,NorthEast Monsoon,Cloudy
Palakkad,31.95,82.61,1008.5,13.77,2.69,43.2,290,NorthEast Monsoon,Cloudy
Pathanamthitta,27.86,70.09,1010.07,9.37,10.58,26.37,109,Pre-Monsoon,Rainy
Kollam,31.16,72.96,1001.37,7.81,2.5,55.11,325,NorthEast Monsoon,Cloudy
Palakkad,29.63,74.77,1008.74,5.16,0.6,56.34,163,SouthWest Monsoon,Cloudy
Palakkad,28.27,95.27,1009.43,8.3,10.55,87.08,39,Post-Monsoon,Rainy
Thiruvananthapuram,33.64,77.74,1008.57,2.79,11.17,69.77,100,Pre-Monsoon,Rainy
Idukki,25.39,78.41,1012.25,9.56,6.47,56.6,49,Post-Monsoon,Cloudy
Malappuram,26.42,86.88,1009.33,13.58,4.33,44.29,207,SouthWest Monsoon,Cloudy
Thrissur,32.53,74.66,1006.3,2.48,8.48,44.23,229,SouthWest Monsoon,Cloudy
Pathanamthitta,31.91,93.3,1007.61,9.05,0.85,63.21,139,Pre-Monsoon,Cloudy
Kozhikode,29.04,61.54,1012.19,14.59,5.67,43.75,364,Post-Monsoon,Cloudy
Palakkad,30.02,91.88,1003.47,15.7,0.9,25.1,243,SouthWest Monsoon,Cloudy
Kollam,30.55,96.85,1008.69,10.77,7.19,63.99,31,Post-Monsoon,Cloudy
Idukki,30.1,84.74,1010.48,2.18,0.74,64.04,258,SouthWest Monsoon,Cloudy
Thiruvananthapuram,29.72,76.44,1016.69,5.17,6.52,73.27,281,NorthEast Monsoon,Cloudy
Kannur,26.48,89.6,1017.72,5.11,0.63,61.44,159,SouthWest Monsoon,Cloudy
Ernakulam,32.71,76.04,1012.44,13.54,7.78,60.35,240,SouthWest Monsoon,Cloudy
Pathanamthitta,28.39,98.89,1009.55,13.36,0.86,54.43,165,SouthWest Monsoon,Cloudy
Ernakulam,26.03,86.54,1016.04,7.56,2.86,90.39,137,Pre-Monsoon,Rainy
Alappuzha,29.4,74.67,1014.87,12.1,10.05,8.12,10,Post-Monsoon,Rainy
Palakkad,30.03,88.63,1011.94,4.96,6.72,82.55,188,SouthWest Monsoon,Rainy
Kottayam,30.19,73.73,1014.08,8.54,9.76,44.13,252,SouthWest Monsoon,Cloudy
Pathanamthitta,31.92,75.68,1008.09,9.37,5.31,60.63,189,SouthWest Monsoon,Cloudy
Thrissur,27.86,88.19,1002.99,10.15,2.41,52.98,21,Post-Monsoon,Cloudy
Idukki,28.8,76.38,1014.17,4.92,2.13,58.2,54,Post-Monsoon,Cloudy
Kollam,26.47,82.99,1008.72,11.67,0.78,69.06,95,Pre-Monsoon,Cloudy
Pathanamthitta,29.7,86.63,1010.24,2.9,2.91,84.7,232,SouthWest Monsoon,Rainy
Thrissur,26.42,76.62,1010.7,4.95,11.52,57.17,63,Post-Monsoon,Rainy
Malappuram,27.23,77.64,1014.71,6.88,7.32,46.88,193,SouthWest Monsoon,Cloudy
Ernakulam,31.95,95.74,1006.68,13.72,0.19,66.89,57,Post-Monsoon,Rainy
Malappuram,29.41,87.45,1002.72,11.83,1.06,83.08,232,SouthWest Monsoon,Rainy
Idukki,33.27,81.92,1011.24,5.88,5.47,37.35,253,SouthWest Monsoon,Cloudy
Kasaragod,32.53,81.32,1015.96,10.91,1.24,100.0,259,SouthWest Monsoon,Cloudy
Thiruvananthapuram,29.65,72.45,1003.05,14.05,2.62,79.3,280,NorthEast Monsoon,Cloudy
Palakkad,30.06,85.82,1010.88,17.93,12.8,58.78,53,Post-Monsoon,Rainy
Pathanamthitta,28.28,82.9,1011.42,12.29,13.12,76.41,260,SouthWest Monsoon,Rainy
Kasaragod,32.13,89.33,1019.0,12.32,1.53,63.97,125,Pre-Monsoon,Cloudy
Kottayam,30.09,65.22,1012.65,5.68,4.38,73.07,124,Pre-Monsoon,Cloudy
Ernakulam,31.73,80.39,1004.52,11.1,6.05,73.79,316,NorthEast Monsoon,Cloudy
Ernakulam,27.06,81.3,1012.11,10.41,1.23,65.99,230,SouthWest Monsoon,Cloudy
Pathanamthitta,24.92,84.71,1010.66,8.15,0.47,65.03,135,Pre-Monsoon,Cloudy
Alappuzha,30.51,83.86,1011.72,4.12,1.98,57.19,65,Post-Monsoon,Cloudy
Malappuram,31.11,86.21,1001.62,6.23,15.85,56.07,204,SouthWest Monsoon,Rainy
Ernakulam,29.23,80.44,1004.12,6.99,9.18,37.78,69,Post-Monsoon,Cloudy
Thrissur,30.74,72.02,1004.79,14.08,0.6,18.2,33,Post-Monsoon,Sunny
Kollam,26.44,70.33,1019.19,8.23,10.44,57.1,217,SouthWest Monsoon,Rainy
Palakkad,31.82,81.51,1010.24,7.59,5.42,48.8,184,SouthWest Monsoon,Cloudy
Ernakulam,32.52,100.0,1005.36,3.39,3.41,78.65,217,SouthWest Monsoon,Rainy
Kannur,32.06,86.66,1011.27,11.01,3.81,61.72,21,Post-Monsoon,Cloudy
Thrissur,29.37,100.0,1011.08,13.72,6.73,83.21,192,SouthWest Monsoon,Rainy
Idukki,32.56,87.56,1012.19,2.52,3.48,44.54,158,SouthWest Monsoon,Cloudy
Idukki,25.57,73.57,1004.51,8.21,3.72,53.43,99,Pre-Monsoon,Cloudy
Palakkad,30.72,80.97,1011.22,10.8,2.0,71.89,300,NorthEast Monsoon,Cloudy
Alappuzha,31.15,100.0,1007.94,16.48,7.07,100.0,59,Post-Monsoon,Rainy
Kozhikode,30.5,88.2,1006.35,7.33,2.0,68.8,110,Pre-Monsoon,Rainy
Kozhikode,26.18,87.96,1016.33,14.6,10.56,25.82,147,Pre-Monsoon,Rainy
Kottayam,29.69,76.46,1016.76,6.92,7.23,67.86,56,Post-Monsoon,Cloudy
Palakkad,28.23,82.05,1011.35,14.83,3.28,53.74,9,Post-Monsoon,Cloudy
Thiruvananthapuram,23.13,73.44,1007.35,7.06,4.28,59.33,131,Pre-Monsoon,Cloudy
Alappuzha,25.47,78.52,1010.55,10.02,14.38,59.51,179,SouthWest Monsoon,Rainy
Ernakulam,32.48,83.27,995.0,12.43,3.44,79.61,82,Post-Monsoon,Cloudy
Kozhikode,27.81,77.07,1017.5,0.62,7.44,72.62,59,Post-Monsoon,Cloudy
Palakkad,32.17,89.66,1017.92,0.0,1.03,60.99,24,Post-Monsoon,Cloudy
Kasaragod,32.43,77.38,1017.72,13.47,1.75,54.45,328,NorthEast Monsoon,Cloudy
Kannur,30.64,84.57,1005.76,14.4,0.69,87.22,185,SouthWest Monsoon,Cloudy
Kozhikode,27.16,89.9,1009.9,15.44,2.43,66.95,86,Post-Monsoon,Rainy
Wayanad,31.83,98.62,1016.37,13.01,13.35,34.84,279,NorthEast Monsoon,Rainy
Kannur,29.64,84.93,1002.82,12.0,0.3,54.88,328,NorthEast Monsoon,Cloudy
Malappuram,29.13,73.79,1011.11,9.16,6.68,91.98,101,Pre-Monsoon,Cloudy
Idukki,26.27,81.88,1007.68,9.34,9.35,82.74,211,SouthWest Monsoon,Cloudy
Wayanad,27.5,97.68,999.28,11.0,3.71,48.36,302,NorthEast Monsoon,Cloudy
Thrissur,26.31,89.6,1012.67,2.09,6.34,47.08,109,Pre-Monsoon,Cloudy
Kannur,31.88,83.54,1011.0,10.61,12.39,65.38,365,Post-Monsoon,Rainy
Palakkad,33.6,86.59,1010.45,10.66,4.97,41.05,191,SouthWest Monsoon,Cloudy
Malappuram,31.77,84.24,1004.39,10.48,12.57,67.5,74,Post-Monsoon,Rainy
Alappuzha,29.6,71.79,1015.79,2.12,1.5,44.59,183,SouthWest Monsoon,Cloudy
Thiruvananthapuram,28.08,83.64,1011.97,11.54,0.09,81.52,133,Pre-Monsoon,Cloudy
Kasaragod,30.43,76.43,1012.23,6.23,0.95,47.4,47,Post-Monsoon,Cloudy
Thrissur,27.75,77.63,1014.76,11.53,13.9,55.33,66,Post-Monsoon,Rainy
Kollam,28.91,79.73,1012.93,16.49,3.3,62.0,249,SouthWest Monsoon,Cloudy
Kozhikode,26.54,65.37,1006.8,10.22,3.14,47.94,59,Post-Monsoon,Cloudy
Thiruvananthapuram,30.95,80.66,1012.54,7.32,9.42,53.67,159,SouthWest Monsoon,Cloudy
Kannur,31.1,68.56,1010.43,4.12,8.44,73.92,209,SouthWest Monsoon,Cloudy
Ernakulam,31.73,88.7,1010.34,11.33,3.03,37.82,22,Post-Monsoon,Cloudy
Wayanad,30.67,65.59,1013.01,10.45,6.77,64.01,272,NorthEast Monsoon,Cloudy
Malappuram,30.46,68.12,1004.94,8.71,3.56,67.93,139,Pre-Monsoon,Cloudy
Palakkad,25.87,66.95,997.32,8.28,2.01,62.45,11,Post-Monsoon,Cloudy
Kozhikode,25.74,84.5,1008.31,9.31,2.78,67.43,182,SouthWest Monsoon,Cloudy
Wayanad,29.99,81.95,1001.8,7.81,5.88,17.77,177,SouthWest Monsoon,Cloudy
Wayanad,32.3,95.65,1008.07,6.5,1.52,50.91,1,Post-Monsoon,Cloudy
Palakkad,28.2,85.46,1001.57,7.46,0.89,22.84,348,Post-Monsoon,Cloudy
Pathanamthitta,29.02,67.92,1010.36,13.08,1.4,94.09,46,Post-Monsoon,Cloudy
Idukki,29.05,75.27,1009.45,4.79,11.01,50.4,91,Pre-Monsoon,Rainy
Ernakulam,23.47,83.54,1009.6,11.87,4.74,67.51,212,SouthWest Monsoon,Cloudy
Kasaragod,29.72,84.65,1012.84,10.83,1.9,66.38,237,SouthWest Monsoon,Cloudy
Malappuram,27.35,67.68,1015.61,9.24,4.71,44.79,77,Post-Monsoon,Cloudy
Palakkad,30.83,89.22,1007.04,9.45,9.35,43.87,31,Post-Monsoon,Cloudy
Kollam,28.91,75.07,1011.09,9.96,2.58,66.81,48,Post-Monsoon,Cloudy
Thrissur,28.46,75.23,1011.14,7.18,1.02,59.95,41,Post-Monsoon,Cloudy
Kasaragod,28.53,90.59,1002.65,4.99,1.46,63.11,352,Post-Monsoon,Cloudy
Ernakulam,28.02,82.09,1014.47,12.81,6.76,58.22,332,Post-Monsoon,Cloudy
Alappuzha,24.92,84.72,1005.42,5.84,1.34,18.86,360,Post-Monsoon,Cloudy
Kollam,31.86,86.23,1006.23,12.2,1.81,14.37,112,Pre-Monsoon,Cloudy
Thrissur,27.1,69.54,1008.4,12.7,12.5,64.78,306,NorthEast Monsoon,Rainy
Kozhikode,27.6,84.0,1004.74,5.44,4.7,82.94,23,Post-Monsoon,Cloudy
Kottayam,29.24,97.4,1005.76,13.3,0.58,71.06,36,Post-Monsoon,Rainy
Idukki,25.65,80.33,1012.39,1.76,7.84,27.24,116,Pre-Monsoon,Cloudy
Kasaragod,27.5,85.0,1004.05,14.15,1.29,23.64,288,NorthEast Monsoon,Cloudy
Kozhikode,34.75,100.0,1014.6,8.02,3.26,95.08,102,Pre-Monsoon,Rainy
Ernakulam,30.01,94.35,1005.25,13.15,0.06,81.32,231,SouthWest Monsoon,Rainy
Malappuram,26.43,78.49,1013.92,11.44,15.75,34.74,216,SouthWest Monsoon,Rainy
Thiruvananthapuram,22.76,85.93,1012.11,12.34,8.83,69.94,311,NorthEast Monsoon,Rainy
Thrissur,32.0,88.03,1004.72,5.2,20.86,83.38,200,SouthWest Monsoon,Rainy
Alappuzha,25.96,99.26,1005.18,19.73,5.08,83.86,32,Post-Monsoon,Rainy
Kannur,27.37,74.7,1012.83,13.47,7.25,63.06,88,Post-Monsoon,Cloudy
Palakkad,27.75,100.0,1015.21,14.18,0.64,12.15,5,Post-Monsoon,Cloudy
Thiruvananthapuram,26.26,84.31,1010.16,14.0,2.22,31.63,114,Pre-Monsoon,Cloudy
Kozhikode,28.77,79.5,1015.65,11.48,2.08,38.07,227,SouthWest Monsoon,Cloudy
Kollam,27.35,86.97,1015.94,11.11,0.56,89.53,96,Pre-Monsoon,Rainy
Kasaragod,30.83,79.1,1005.62,13.36,2.07,73.17,105,Pre-Monsoon,Cloudy
Idukki,29.42,79.32,1016.53,9.23,5.2,56.12,162,SouthWest Monsoon,Cloudy
Kozhikode,33.3,77.45,1013.33,7.0,1.1,62.7,162,SouthWest Monsoon,Cloudy
Malappuram,33.36,77.64,1005.81,13.87,1.66,48.44,175,SouthWest Monsoon,Cloudy
Kozhikode,26.14,68.5,1007.05,8.45,1.97,88.28,57,Post-Monsoon,Cloudy
Kasaragod,28.02,68.94,1015.65,8.25,14.36,70.88,335,Post-Monsoon,Rainy
Thiruvananthapuram,35.46,75.57,1017.52,0.34,7.63,30.93,2,Post-Monsoon,Cloudy
Alappuzha,25.52,84.15,1009.11,12.46,0.71,75.14,252,SouthWest Monsoon,Cloudy
Thrissur,31.39,76.2,1021.78,9.62,12.22,18.84,190,SouthWest Monsoon,Rainy
Malappuram,30.64,98.93,1017.75,12.08,7.71,31.79,142,Pre-Monsoon,Cloudy
Kottayam,26.45,87.11,1013.51,10.16,2.69,49.04,25,Post-Monsoon,Cloudy
Kannur,26.6,76.64,1012.96,13.64,1.43,71.58,258,SouthWest Monsoon,Cloudy
Palakkad,34.53,96.45,1013.05,11.08,2.01,33.65,52,Post-Monsoon,Cloudy
Kozhikode,34.47,80.27,1002.34,13.48,3.37,45.6,347,Post-Monsoon,Cloudy
Kozhikode,30.29,80.21,1007.1,12.74,5.54,37.15,81,Post-Monsoon,Cloudy
Idukki,24.84,87.14,1009.86,11.26,10.56,61.57,200,SouthWest Monsoon,Rainy
Thiruvananthapuram,32.77,81.41,1008.24,8.15,0.41,77.08,245,SouthWest Monsoon,Cloudy
Idukki,24.83,82.78,1013.31,14.8,2.38,53.14,111,Pre-Monsoon,Cloudy
Idukki,31.15,87.38,1010.95,7.04,4.4,71.5,8,Post-Monsoon,Rainy
Kannur,24.14,72.87,1013.0,8.13,5.32,55.41,45,Post-Monsoon,Cloudy
Idukki,29.02,81.15,1009.11,7.74,2.28,100.0,316,NorthEast Monsoon,Cloudy
Thrissur,31.65,74.49,1016.72,15.39,1.89,42.28,344,Post-Monsoon,Cloudy
Idukki,20.52,84.8,1011.2,5.83,3.14,39.12,81,Post-Monsoon,Cloudy
Kottayam,27.41,70.71,1009.0,9.63,2.18,54.34,102,Pre-Monsoon,Cloudy
Kozhikode,29.46,94.6,1013.5,8.7,5.1,70.75,249,SouthWest Monsoon,Rainy
Kollam,27.97,77.27,1013.89,6.67,0.78,55.0,3,Post-Monsoon,Cloudy
Alappuzha,26.99,79.33,1010.56,6.0,1.25,28.97,139,Pre-Monsoon,Cloudy
Kasaragod,28.6,81.08,1002.59,13.68,0.36,39.48,111,Pre-Monsoon,Cloudy
Malappuram,32.11,74.27,1014.99,12.77,1.4,68.3,110,Pre-Monsoon,Cloudy
Kottayam,33.11,83.86,1002.14,9.52,6.18,64.82,358,Post-Monsoon,Cloudy
Malappuram,31.12,90.88,1003.45,9.06,0.27,41.14,109,Pre-Monsoon,Cloudy
Alappuzha,33.66,79.36,1010.66,7.89,4.35,66.15,275,NorthEast Monsoon,Cloudy
Kollam,27.4,78.61,1007.96,4.63,2.67,81.11,107,Pre-Monsoon,Cloudy
Ernakulam,30.79,87.15,1010.55,11.86,7.93,54.58,200,SouthWest Monsoon,Cloudy
Malappuram,25.94,86.66,1017.48,6.73,8.98,60.93,181,SouthWest Monsoon,Cloudy
Malappuram,37.79,82.99,1012.27,1.47,14.37,58.65,72,Post-Monsoon,Rainy
Kollam,29.3,91.74,1006.45,5.64,2.89,94.58,338,Post-Monsoon,Rainy
Thiruvananthapuram,31.41,85.31,1014.49,12.69,14.21,40.5,106,Pre-Monsoon,Rainy
Kasaragod,23.71,96.19,1003.24,11.62,0.63,77.03,245,SouthWest Monsoon,Rainy
Kottayam,31.34,79.58,1007.06,9.48,0.51,100.0,53,Post-Monsoon,Cloudy
Wayanad,29.34,72.86,1009.97,13.64,1.62,95.17,125,Pre-Monsoon,Cloudy
Kannur,30.39,93.13,1007.25,6.39,9.01,31.49,296,NorthEast Monsoon,Cloudy
Thiruvananthapuram,29.04,67.89,1013.64,11.51,0.36,87.98,230,SouthWest Monsoon,Cloudy
Thiruvananthapuram,28.64,75.24,1010.38,13.26,1.88,57.22,195,SouthWest Monsoon,Cloudy
Thiruvananthapuram,28.08,74.13,1011.66,5.22,12.66,77.54,244,SouthWest Monsoon,Rainy
Idukki,28.73,82.49,1010.81,6.68,4.11,70.0,159,SouthWest Monsoon,Cloudy
Palakkad,33.4,81.38,1014.85,18.33,0.19,73.74,110,Pre-Monsoon,Cloudy
Malappuram,27.9,91.7,1005.23,7.01,1.67,40.36,312,NorthEast Monsoon,Cloudy
Kannur,35.78,82.53,1001.97,9.32,5.21,75.53,174,SouthWest Monsoon,Cloudy
Kozhikode,29.18,77.41,1013.88,9.26,0.1,57.93,129,Pre-Monsoon,Cloudy
Wayanad,33.2,79.75,1006.59,10.39,3.35,42.99,204,SouthWest Monsoon,Cloudy
Thiruvananthapuram,32.43,74.49,1005.29,8.04,25.85,49.79,64,Post-Monsoon,Rainy
Kottayam,24.31,87.28,1010.88,7.33,2.03,69.02,203,SouthWest Monsoon,Rainy
Palakkad,24.94,93.9,1011.32,20.38,1.3,61.64,300,NorthEast Monsoon,Cloudy
Kasaragod,26.97,83.67,1015.67,7.65,0.43,77.34,169,SouthWest Monsoon,Cloudy
Palakkad,24.37,81.86,1010.69,11.21,0.13,58.58,126,Pre-Monsoon,Cloudy
Thiruvananthapuram,27.76,85.73,1010.32,7.92,8.33,47.5,173,SouthWest Monsoon,Cloudy
Thrissur,29.08,78.36,1006.78,10.35,1.61,49.81,102,Pre-Monsoon,Cloudy
Thiruvananthapuram,30.95,80.87,1017.69,15.06,0.16,21.18,303,NorthEast Monsoon,Cloudy
Thrissur,29.54,80.67,1015.8,8.43,4.27,28.07,354,Post-Monsoon,Cloudy
Thiruvananthapuram,29.02,87.64,1001.37,6.34,1.2,91.32,157,SouthWest Monsoon,Rainy
Wayanad,32.07,78.91,1017.16,10.28,0.54,51.16,263,SouthWest Monsoon,Cloudy
Kottayam,31.67,65.06,1007.18,20.62,2.56,76.4,353,Post-Monsoon,Cloudy
Thrissur,34.72,72.93,1015.47,0.15,0.55,95.95,292,NorthEast Monsoon,Cloudy
Idukki,29.56,100.0,1012.07,16.69,0.51,32.34,106,Pre-Monsoon,Cloudy
Palakkad,21.77,80.69,1014.96,5.2,3.06,53.04,332,Post-Monsoon,Cloudy
Thiruvananthapuram,30.28,86.01,1014.6,6.68,0.68,40.29,258,SouthWest Monsoon,Cloudy
Palakkad,35.81,81.34,1012.35,10.16,3.82,47.63,253,SouthWest Monsoon,Cloudy
Thiruvananthapuram,32.08,81.4,1013.6,10.44,6.07,58.69,343,Post-Monsoon,Cloudy
Malappuram,32.77,73.06,1005.89,15.74,1.37,32.53,278,NorthEast Monsoon,Sunny
Malappuram,29.28,95.63,1025.0,3.5,6.97,26.21,140,Pre-Monsoon,Cloudy
Pathanamthitta,31.74,76.02,1006.53,14.29,1.24,68.9,354,Post-Monsoon,Cloudy
Thiruvananthapuram,32.92,75.83,1012.07,11.01,10.0,61.96,338,Post-Monsoon,Cloudy
Pathanamthitta,28.0,85.06,1010.5,12.23,0.36,69.13,97,Pre-Monsoon,Rainy
Wayanad,27.5,91.32,1012.04,9.8,10.77,68.01,293,NorthEast Monsoon,Rainy
Kozhikode,30.36,79.81,1004.79,1.05,1.72,43.94,275,NorthEast Monsoon,Cloudy
Kannur,31.91,67.02,1010.13,14.0,5.08,49.58,36,Post-Monsoon,Cloudy
Kollam,20.73,67.27,1005.95,4.4,1.37,31.5,107,Pre-Monsoon,Sunny
Kollam,28.42,94.37,1001.69,7.8,1.83,35.55,41,Post-Monsoon,Cloudy
Palakkad,23.14,82.59,1007.86,14.32,2.47,73.33,216,SouthWest Monsoon,Cloudy
Thrissur,28.63,92.63,1019.0,4.48,2.91,78.78,2,Post-Monsoon,Rainy
Thiruvananthapuram,34.07,83.88,1007.3,7.84,0.41,61.32,262,SouthWest Monsoon,Cloudy
Wayanad,27.13,75.18,1012.2,16.09,0.2,51.86,129,Pre-Monsoon,Cloudy
Kasaragod,28.14,85.12,1012.64,9.64,8.98,67.35,277,NorthEast Monsoon,Rainy
Alappuzha,30.99,84.14,1014.46,10.53,3.92,69.96,309,NorthEast Monsoon,Cloudy
Kannur,31.98,86.0,1010.95,8.28,0.78,43.84,338,Post-Monsoon,Cloudy
Thiruvananthapuram,31.87,82.66,1014.33,8.01,1.85,44.42,333,Post-Monsoon,Cloudy
Thiruvananthapuram,29.11,78.16,1012.48,13.34,0.43,63.49,141,Pre-Monsoon,Cloudy
Wayanad,30.71,91.17,1018.0,7.2,0.88,24.25,247,SouthWest Monsoon,Cloudy
Wayanad,30.58,81.49,1005.9,10.33,2.51,68.61,19,Post-Monsoon,Cloudy
Alappuzha,26.89,83.89,1014.94,16.34,4.2,45.95,162,SouthWest Monsoon,Cloudy
Kollam,23.75,74.17,1011.79,8.32,5.28,74.9,6,Post-Monsoon,Cloudy
Pathanamthitta,26.31,73.35,1007.49,5.22,4.76,45.48,86,Post-Monsoon,Cloudy
Kozhikode,33.32,75.55,1009.92,14.46,0.91,87.82,195,SouthWest Monsoon,Cloudy
Palakkad,35.64,73.32,1018.91,14.55,2.25,91.38,290,NorthEast Monsoon,Cloudy
Kollam,28.73,64.73,1009.69,4.83,5.2,52.81,115,Pre-Monsoon,Cloudy
Alappuzha,33.2,76.99,1014.73,14.13,2.98,55.84,38,Post-Monsoon,Cloudy
Thiruvananthapuram,28.11,94.19,1011.44,13.84,5.01,49.94,95,Pre-Monsoon,Cloudy
Kollam,30.05,78.63,1016.88,0.0,5.76,70.46,46,Post-Monsoon,Cloudy
